impl,size,workers,iter,seconds
openmp_blocked,1200,8,8,0.13
openmp_bt,1200,8,9,0.14
openmp_blocked,1200,8,9,0.12
openmp_bt,1200,8,10,0.14
openmp_blocked,1200,8,10,0.12
openmp_bt,1200,16,1,0.12
openmp_blocked,1200,16,1,0.11
openmp_bt,1200,16,2,0.13
openmp_blocked,1200,16,2,0.13
openmp_bt,1200,16,3,0.13
openmp_blocked,1200,16,3,0.12
openmp_bt,1200,16,4,0.13
openmp_blocked,1200,16,4,0.11
openmp_bt,1200,16,5,0.12
openmp_blocked,1200,16,5,0.11
openmp_bt,1200,16,6,0.12
openmp_blocked,1200,16,6,0.11
openmp_bt,1200,16,7,0.14
openmp_blocked,1200,16,7,0.11
openmp_bt,1200,16,8,0.12
openmp_blocked,1200,16,8,0.12
openmp_bt,1200,16,9,0.12
openmp_blocked,1200,16,9,0.11
openmp_bt,1200,16,10,0.12
openmp_blocked,1200,16,10,0.12
openmp_bt,1200,32,1,0.12
openmp_blocked,1200,32,1,0.11
openmp_bt,1200,32,2,0.12
openmp_blocked,1200,32,2,0.12
openmp_bt,1200,32,3,0.12
openmp_blocked,1200,32,3,0.12
openmp_bt,1200,32,4,0.12
openmp_blocked,1200,32,4,0.11
openmp_bt,1200,32,5,0.15
openmp_blocked,1200,32,5,0.12
openmp_bt,1200,32,6,0.12
openmp_blocked,1200,32,6,0.11
openmp_bt,1200,32,7,0.12
openmp_blocked,1200,32,7,0.11
openmp_bt,1200,32,8,0.12
openmp_blocked,1200,32,8,0.12
openmp_bt,1200,32,9,0.13
openmp_blocked,1200,32,9,0.12
openmp_bt,1200,32,10,0.12
openmp_blocked,1200,32,10,0.13
openmp_bt,2000,1,1,2.81
openmp_blocked,2000,1,1,1.02
openmp_bt,2000,1,2,2.69
openmp_blocked,2000,1,2,1.04
openmp_bt,2000,1,3,2.69
openmp_blocked,2000,1,3,1.01
openmp_bt,2000,1,4,2.66
openmp_blocked,2000,1,4,1.01
openmp_bt,2000,1,5,2.68
